Prescribed_for,DrugName_list,Disease,Symptoms,Symptoms_Length,Number_of_Drugs,Preprocessed_Symptoms
"Herpes Zoster, Prophylaxis",Zoster vaccine live,Herpes esophagitis,"['People with herpes esophagitis experience pain with eating and trouble swallowing . Other symptoms can include food impaction ', 'hiccups ', 'weight loss', 'fever', 'and on rare occasions upper gastrointestinal bleeding as noted in the image above and tracheoesophageal fistula . Frequently one can see herpetiform lesions in the mouth and lips.']",349,1,people herpes esophagitis experience pain eating trouble swallowing symptom include food impaction hiccup weight loss fever rare occasion upper gastrointestinal bleeding noted image tracheoesophageal fistula frequently one see herpetiform lesion mouth lip
Hiccups,"Gabapentin,Baclofen,Chlorpromazine,Thorazine",Hiccup,"['A hiccup consists of a single or a series of breathing diaphragm spasms', 'of variable spacing and duration', 'and a brief (less than one half second)', 'unexpected', 'shoulder ', 'abdomen ', 'throat ', 'or full body tremor.']",228,4,hiccup consists single series breathing diaphragm spasm variable spacing duration brief le one half second unexpected shoulder abdomen throat full body tremor
Hidradenitis Suppurativa,Adalimumab,Hidradenitis suppurativa,Multiple inflamed and swollen skin lesions,42,1,multiple inflamed swollen skin lesion
High Blood Pressure,"Lisinopril,Carvedilol,Cozaar,Azor,Lotrel,Metoprolol,Amlodipine,Ramipril,Atenolol,Benicar,Amlodipine / olmesartan,Losartan,Adalat CC,Tenex,Nebivolol,Bystolic,Clonidine,Edarbyclor,Exforge,Zestril,Diovan HCT,Olmesartan,Coreg,Hydrochlorothiazide,Minoxidil,Nadolol,Diltiazem,Bisoprolol / hydrochlorothiazide,Telmisartan,Hydrochlorothiazide / triamterene,Exforge HCT,Diovan,Valsartan,Micardis HCT,Benazepril / hydrochlorothiazide,Amlodipine / benazepril,Univasc,Benicar HCT,Hydrochlorothiazide / lisinopril,Norvasc,Amlodipine / atorvastatin,Hydrochlorothiazide / valsartan,Azilsartan medoxomil / chlorthalidone,Atenolol / chlorthalidone,Tarka,Nifedipine,Hydrochlorothiazide / olmesartan,Amlodipine / hydrochlorothiazide / olmesartan,Hytrin,Microzide,Micardis,Eplerenone,Minipress,Avapro,Tenormin,Cartia XT,Propranolol,Quinapril,Guanfacine,Candesartan,Azilsartan medoxomil,Altace,Tekturna HCT,Irbesartan,Ziac,Prazosin,Spironolactone,Amlodipine / telmisartan,Perindopril,Verapamil,Hydrochlorothiazide / telmisartan,Tekturna,Fosinopril,Hydrochlorothiazide / losartan,Toprol-XL,Aliskiren,Cardizem,Terazosin,Dyazide,Cardura,Zestoretic,Avalide,Tribenzor,Bisoprolol,Enalapril,Furosemide,Aliskiren / hydrochlorothiazide,Hydrochlorothiazide / irbesartan,Edarbi,Atacand",Hypertension,None,4,90,none
High Cholesterol,"Pravastatin,Rosuvastatin,Simcor,Crestor,Lipitor,Atorvastatin,Praluent,Niacin,Simvastatin,Lovastatin,Ezetimibe / simvastatin,Niaspan,Red yeast rice,Livalo,Evolocumab,Pitavastatin,Welchol,Trilipix,Gemfibrozil,Fenofibric acid,Vytorin,Ezetimibe,Zetia,Lovastatin / niacin,Advicor,Repatha,Zocor,Alirocumab,Niacin / simvastatin,Slo-Niacin,Mevacor",Hypercholesterolemia,"['Although hypercholesterolemia itself is asymptomatic ', 'longstanding elevation of serum cholesterol can lead to atherosclerosis (build-up of fatty plaques in the arteries', ""so-called 'hardening of the arteries'). Over a period of decades"", 'elevated serum cholesterol contributes to formation of atheromatous plaques in the arteries. This can lead to progressive narrowing of the involved arteries. Alternatively smaller plaques may rupture and cause a clot to form and obstruct blood flow. A sudden blockage of a coronary artery may result in a heart attack. A blockage of an artery supplying the brain can cause a stroke. If the development of the stenosis or occlusion is gradual', 'blood supply to the tissues and organs slowly diminishes until organ function becomes impaired. At this point tissue ischemia (restriction in blood supply) may manifest as specific symptoms . For example', 'temporary ischemia of the brain (commonly referred to as a transient ischemic attack ) may manifest as temporary loss of vision', 'dizziness and impairment of balance ', 'difficulty speaking ', 'weakness or numbness or tingling ', 'usually on one side of the body. Insufficient blood supply to the heart may cause chest pain ', 'and ischemia of the eye may manifest as transient visual loss in one eye . Insufficient blood supply to the legs may manifest as calf pain when walking ', 'while in the intestines it may present as abdominal pain after eating a meal .']",1462,31,although hypercholesterolemia asymptomatic longstanding elevation serum cholesterol lead atherosclerosis buildup fatty plaque artery socalled hardening artery period decade elevated serum cholesterol contributes formation atheromatous plaque artery lead progressive narrowing involved artery alternatively smaller plaque may rupture cause clot form obstruct blood flow sudden blockage coronary artery may result heart attack blockage artery supplying brain cause stroke development stenosis occlusion gradual blood supply tissue organ slowly diminishes organ function becomes impaired point tissue ischemia restriction blood supply may manifest specific symptom example temporary ischemia brain commonly referred transient ischemic attack may manifest temporary loss vision dizziness impairment balance difficulty speaking weakness numbness tingling usually one side body insufficient blood supply heart may cause chest pain ischemia eye may manifest transient visual loss one eye insufficient blood supply leg may manifest calf pain walking intestine may present abdominal pain eating meal
"High Cholesterol, Familial Heterozygous","Evolocumab,Crestor,Repatha,Praluent,Rosuvastatin,Zetia,Alirocumab,Vytorin",Familial hypercholesterolemia,"['High cholesterol levels normally do not cause any symptoms. Yellow deposits of cholesterol-rich fat may be seen in various places on the body such as around the eyelids (known as xanthelasma palpebrarum )', 'the outer margin of the iris (known as arcus senilis corneae )', 'and in the tendons of the hands', 'elbows', 'knees and feet', 'particularly the Achilles tendon (known as a tendon xanthoma ).']",404,8,high cholesterol level normally cause symptom yellow deposit cholesterolrich fat may seen various place body around eyelid known xanthelasma palpebrarum outer margin iris known arcus senilis cornea tendon hand elbow knee foot particularly achilles tendon known tendon xanthoma
"High Cholesterol, Familial Homozygous","Evolocumab,Repatha",Familial hypercholesterolemia,"['High cholesterol levels normally do not cause any symptoms. Yellow deposits of cholesterol-rich fat may be seen in various places on the body such as around the eyelids (known as xanthelasma palpebrarum )', 'the outer margin of the iris (known as arcus senilis corneae )', 'and in the tendons of the hands', 'elbows', 'knees and feet', 'particularly the Achilles tendon (known as a tendon xanthoma ).']",404,2,high cholesterol level normally cause symptom yellow deposit cholesterolrich fat may seen various place body around eyelid known xanthelasma palpebrarum outer margin iris known arcus senilis cornea tendon hand elbow knee foot particularly achilles tendon known tendon xanthoma
Hirsutism,"Eflornithine,Vaniqa,Spironolactone",Hypertrichosis,"['The primary characteristic of all forms of hypertrichosis is excessive hair. Hair in hypertrichosis is usually longer than expected and may consist of any hair type ( lanugo ', 'vellus ', 'or terminal ). Patterned forms of hypertrichosis cause hair growth in patterns. Generalized forms of hypertrichosis result in hair growth over the entire body. Circumscribed and localized forms lead to hair growth restricted to a certain area.']",436,3,primary characteristic form hypertrichosis excessive hair hair hypertrichosis usually longer expected may consist hair type lanugo vellus terminal patterned form hypertrichosis cause hair growth pattern generalized form hypertrichosis result hair growth entire body circumscribed localized form lead hair growth restricted certain area
Histoplasmosis,Itraconazole,Histoplasmosis,"['If symptoms of histoplasmosis infection occur', 'they start within 3 to 17 days after exposure; the typical time is 12–14 days. Most affected individuals have clinically silent manifestations and show no apparent ill effects. The acute phase of histoplasmosis is characterized by nonspecific respiratory symptoms', 'often cough or flu-like. Chest X-ray findings are normal in 40–70% of cases. Chronic histoplasmosis cases can resemble tuberculosis ; disseminated histoplasmosis affects multiple organ systems and is fatal unless treated.']",541,1,symptom histoplasmosis infection occur start within 3 17 day exposure typical time 12–14 day affected individual clinically silent manifestation show apparent ill effect acute phase histoplasmosis characterized nonspecific respiratory symptom often cough flulike chest xray finding normal 40–70 case chronic histoplasmosis case resemble tuberculosis disseminated histoplasmosis affect multiple organ system fatal unless treated
Hot Flashes,"Esterified estrogens / methyltestosterone,Venlafaxine,Gabapentin,Paroxetine,Cymbalta,Neurontin,Brisdelle,Fluoxetine,Remeron,Duavee,Megestrol,Duloxetine,Bazedoxifene / conjugated estrogens,Evening Primrose Oil,Estratest H.S.,Desvenlafaxine",Hot flash,"['Hot flashes', 'a common symptom of menopause and perimenopause ', 'are typically experienced as a feeling of intense heat with sweating and rapid heartbeat ', 'and may typically last from two to thirty minutes for each occurrence', 'ending just as rapidly as they began. The sensation of heat usually begins in the face or chest', 'although it may appear elsewhere such as the back of the neck', 'and it can spread throughout the whole body. Some people feel as if they are going to faint. In addition to being an internal sensation', 'the surface of the skin', 'especially on the face', 'becomes hot to the touch. This is the origin of the alternative term ""hot flush""', 'since the sensation of heat is often accompanied by visible reddening of the face.']",759,16,hot flash common symptom menopause perimenopause typically experienced feeling intense heat sweating rapid heartbeat may typically last two thirty minute occurrence ending rapidly began sensation heat usually begin face chest although may appear elsewhere back neck spread throughout whole body people feel going faint addition internal sensation surface skin especially face becomes hot touch origin alternative term hot flush since sensation heat often accompanied visible reddening face
Human Papilloma Virus,"Imiquimod,Aldara",Human papillomavirus infection,"None, warts",11,2,none wart
Human Papillomavirus Prophylaxis,"Human papillomavirus vaccine,Gardasil",Human papillomavirus infection,"None, warts",11,2,none wart
Hypercalcemia of Malignancy,Denosumab,Hypercalcaemia,"Abdominal pain , bone pain, confusion , depression , weakness",61,1,abdominal pain bone pain confusion depression weakness
Hyperekplexia,"Klonopin,Depakote",Hyperekplexia,"Increased startle response to sudden auditory, visual, or tactile stimulation",77,2,increased startle response sudden auditory visual tactile stimulation
Hyperhidrosis,"Oxybutynin,Aluminum chloride hexahydrate,Drysol,Xerac AC,Hypercare,Clonidine,Botox",Gustatory hyperhidrosis,Excessive sweating after eating certain foods by individuals with particular nerve damage,89,7,excessive sweating eating certain food individual particular nerve damage
Hyperkalemia,Kionex,Hyperkalemia,"Palpitations , muscle pain , muscle weakness , numbness",55,1,palpitation muscle pain muscle weakness numbness
Hyperlipoproteinemia,"Prevalite,Simvastatin",Familial dysbetalipoproteinemia,"['Signs of familial dysbetaproteinemia include xanthoma striatum palmare (orange or yellow discoloration of the palms) and tuberoeruptive xanthomas over the elbows and knees. The disease leads to premature atherosclerosis and therefore a possible early onset of coronary artery disease and peripheral vascular disease leading to a heart attack', 'i.e. myocardial infarction ', 'chest pain on exercise', 'i.e. angina pectoris or stroke in young adults or middle aged patients.']",477,2,sign familial dysbetaproteinemia include xanthoma striatum palmare orange yellow discoloration palm tuberoeruptive xanthoma elbow knee disease lead premature atherosclerosis therefore possible early onset coronary artery disease peripheral vascular disease leading heart attack ie myocardial infarction chest pain exercise ie angina pectoris stroke young adult middle aged patient
"Hyperlipoproteinemia Type IIa, Elevated LDL","Fenofibrate,Colesevelam,Welchol,TriCor",Hypercholesterolemia,"['Although hypercholesterolemia itself is asymptomatic ', 'longstanding elevation of serum cholesterol can lead to atherosclerosis (build-up of fatty plaques in the arteries', ""so-called 'hardening of the arteries'). Over a period of decades"", 'elevated serum cholesterol contributes to formation of atheromatous plaques in the arteries. This can lead to progressive narrowing of the involved arteries. Alternatively smaller plaques may rupture and cause a clot to form and obstruct blood flow. A sudden blockage of a coronary artery may result in a heart attack. A blockage of an artery supplying the brain can cause a stroke. If the development of the stenosis or occlusion is gradual', 'blood supply to the tissues and organs slowly diminishes until organ function becomes impaired. At this point tissue ischemia (restriction in blood supply) may manifest as specific symptoms . For example', 'temporary ischemia of the brain (commonly referred to as a transient ischemic attack ) may manifest as temporary loss of vision', 'dizziness and impairment of balance ', 'difficulty speaking ', 'weakness or numbness or tingling ', 'usually on one side of the body. Insufficient blood supply to the heart may cause chest pain ', 'and ischemia of the eye may manifest as transient visual loss in one eye . Insufficient blood supply to the legs may manifest as calf pain when walking ', 'while in the intestines it may present as abdominal pain after eating a meal .']",1462,4,although hypercholesterolemia asymptomatic longstanding elevation serum cholesterol lead atherosclerosis buildup fatty plaque artery socalled hardening artery period decade elevated serum cholesterol contributes formation atheromatous plaque artery lead progressive narrowing involved artery alternatively smaller plaque may rupture cause clot form obstruct blood flow sudden blockage coronary artery may result heart attack blockage artery supplying brain cause stroke development stenosis occlusion gradual blood supply tissue organ slowly diminishes organ function becomes impaired point tissue ischemia restriction blood supply may manifest specific symptom example temporary ischemia brain commonly referred transient ischemic attack may manifest temporary loss vision dizziness impairment balance difficulty speaking weakness numbness tingling usually one side body insufficient blood supply heart may cause chest pain ischemia eye may manifest transient visual loss one eye insufficient blood supply leg may manifest calf pain walking intestine may present abdominal pain eating meal
